,Faculty,Position,Gender,Management,Area,Excellence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,A S Madhukumar,Associate Professor,M,N,Computer Networks,0,[],[],['Lau Chiew Tong'],[],[],[],[],[],[],[],[],['Lau Chiew Tong'],[],[],['Dusit Niyato'],[],['Dusit Niyato'],[],[],[],[],[]
1,Alexei Sourin,Associate Professor,M,N,Computer Graphics,0,[],[],[],[],['Seah Hock Soon'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,Anupam Chattopadhyay,Associate Professor,M,N,Computer Architecture,3,[],[],[],[],[],[],[],[],[],[],[],['Sourav Sen Gupta'],['Sourav Sen Gupta'],['Sourav Sen Gupta'],[],[],['Thambipillai Srikanthan'],"['Erik Cambria', 'Arvind Easwaran', 'Lam Kwok Yan']","['Lam Kwok Yan', 'Sourav Sen Gupta', 'Arvind Easwaran']","['Sourav Sen Gupta', 'Owen Noel Newton Fernando', 'Seah Hock Soon']","['Guan Cuntai', 'Arvind Easwaran']",[]
3,Anwitaman Datta,Associate Professor,M,N,Distributed Systems,3,[],[],[],[],[],[],[],[],"['Ng Wee Keong', 'Sun Aixin']",['Sun Aixin'],"['Sun Aixin', 'Ng Wee Keong']",['Sun Aixin'],"['Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie']",['Sun Aixin'],[],[],[],[],[],[],[],[]
4,Arijit Khan,Assistant Professor,M,N,Data Management,9,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Sourav S Bhowmick'],['Cong Gao'],[],"['Cong Gao', 'Sourav Sen Gupta']",[]
5,Arvind Easwaran,Associate Professor,M,N,Computer Architecture,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Anupam Chattopadhyay'],"['Tan Rui', 'Anupam Chattopadhyay']",['Tan Rui'],"['Tan Rui', 'Anupam Chattopadhyay', 'Liu Zhiwei']",[]
6,Bo An,Associate Professor,M,N,AI/ML,4,[],[],[],[],[],"['Miao Chunyan', 'Shen Zhiqi']","['Miao Chunyan', 'Shen Zhiqi']","['Shen Zhiqi', 'Miao Chunyan']",[],[],[],[],"['Yu Han', 'Shen Zhiqi', 'Miao Chunyan']","['Yu Han', 'Shen Zhiqi', 'Miao Chunyan']","['Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Zhang Jie']","['Miao Chunyan', 'Shen Zhiqi']","['Zhang Jie', 'Miao Chunyan']","['Zhang Jie', 'Dusit Niyato', 'Miao Chunyan', 'Cong Gao']","['Miao Chunyan', 'Pan Sinno Jialin']",['Zinovi Rabinovich'],['Zinovi Rabinovich'],"['Lana Obraztsova ', 'Zinovi Rabinovich']"
7,Cai Jianfei,Professor,M,N,Computer Vision,24,[],[],[],[],['Chia Liang Tien Clement'],[],"['Deepu Rajan', 'Chia Liang Tien Clement', 'Lee Bu Sung Francis']","['Zheng Jianmin', 'Lau Chiew Tong', 'Cham Tat Jen', 'Deepu Rajan', 'Chia Liang Tien Clement']","['Lin Weisi', 'Zheng Jianmin', 'Lau Chiew Tong']","['Lin Weisi', 'Zheng Jianmin', 'Chia Liang Tien Clement']",['Zheng Jianmin'],"['Zheng Jianmin', 'Dusit Niyato', 'Lin Weisi', 'Wen Yonggang']","['Zheng Jianmin', 'Lin Weisi', 'Wen Yonggang', 'Cham Tat Jen']","['Zheng Jianmin', 'Cham Tat Jen', 'Wen Yonggang']","['Zheng Jianmin', 'Wen Yonggang', 'Lu Shijian', 'Cham Tat Jen']","['Cham Tat Jen', 'Lin Weisi', 'Zheng Jianmin', 'Lu Shijian', 'Wen Yonggang']","['Lu Shijian', 'Zheng Jianmin', 'Cham Tat Jen']","['Ong Yew Soon', 'Wen Yonggang', 'Cham Tat Jen', 'Zheng Jianmin', 'Lu Shijian', 'Joty Shafiq Rayhan']","['Ong Yew Soon', 'Zheng Jianmin', 'Cham Tat Jen', 'Wen Yonggang', 'Joty Shafiq Rayhan', 'Zhang Hanwang', 'Lin Guosheng']","['Zheng Jianmin', 'Cham Tat Jen', 'Lin Guosheng', 'Ong Yew Soon', 'Zhang Hanwang', 'Joty Shafiq Rayhan']","['Joty Shafiq Rayhan', 'Zheng Jianmin', 'Cham Tat Jen', 'Ong Yew Soon', 'Lin Guosheng', 'Zhang Hanwang']",['Ong Yew Soon']
8,Cai Wentong,Professor,M,Y,Distributed Systems,3,"['Lee Bu Sung Francis', 'Huang Shell Ying']","['Lee Bu Sung Francis', 'Huang Shell Ying']","['Lee Bu Sung Francis', 'Sun Chengzheng']","['Lee Bu Sung Francis', 'Ong Yew Soon']","['Lee Bu Sung Francis', 'Ong Yew Soon']","['Lee Bu Sung Francis', 'Ong Yew Soon']","['Lee Bu Sung Francis', 'Sun Chengzheng', 'Huang Shell Ying']",['Lee Bu Sung Francis'],['Tang Xueyan'],"['Lee Bu Sung Francis', 'Tang Xueyan']","['Tang Xueyan', 'Seah Hock Soon']","['Tang Xueyan', 'Ong Yew Soon']",['Tang Xueyan'],"['Tang Xueyan', 'Liu Yang']",['Tang Xueyan'],"['Tang Xueyan', 'Ong Yew Soon']","['Liu Yang', 'Ong Yew Soon', 'Tang Xueyan']",['Tang Xueyan'],"['Tang Xueyan', 'Lee Bu Sung Francis']","['Tang Xueyan', 'Lee Bu Sung Francis']","['Ong Yew Soon', 'Lee Bu Sung Francis', 'Huang Shell Ying']","['Tang Xueyan', 'Sun Chengzheng', 'Lee Bu Sung Francis', 'Huang Shell Ying']"
9,Cham Tat Jen,Associate Professor,M,N,Computer Vision,8,[],[],[],[],[],[],[],"['Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Cai Jianfei', 'Deepu Rajan']",[],[],['Chia Liang Tien Clement'],[],['Cai Jianfei'],"['Cai Jianfei', 'Zheng Jianmin']",['Cai Jianfei'],"['Cai Jianfei', 'Zheng Jianmin']",['Cai Jianfei'],"['Cai Jianfei', 'Zheng Jianmin']","['Zheng Jianmin', 'Cai Jianfei']","['Zheng Jianmin', 'Cai Jianfei']","['Zheng Jianmin', 'Cai Jianfei']",[]
