Faculty,Position,Gender,Management,DBLP,Area,Links with Pid,Links_XML
A S Madhukumar,Associate Professor,M,N,https://dblp.uni-trier.de/pers/m/Madhukumar:A=_S=.html,Computer Networks,https://dblp.uni-trier.de/pid/66/549.html,https://dblp.uni-trier.de/pid/66/549.xml
Alexei Sourin,Associate Professor,M,N,https://dblp.org/pers/s/Sourin:Alexei.html,Computer Graphics,https://dblp.org/pid/15/3108.html,https://dblp.org/pid/15/3108.xml
Anupam Chattopadhyay,Associate Professor,M,N,https://dblp.org/pers/c/Chattopadhyay:Anupam.html,Computer Architecture,https://dblp.org/pid/99/4535.html,https://dblp.org/pid/99/4535.xml
Anwitaman Datta,Associate Professor,M,N,https://dblp.org/pers/d/Datta:Anwitaman.html,Distributed Systems,https://dblp.org/pid/d/AnwitamanDatta.html,https://dblp.org/pid/d/AnwitamanDatta.xml
Arijit Khan,Assistant Professor,M,N,https://dblp.org/pers/k/Khan:Arijit.html,Data Management,https://dblp.org/pid/67/2933.html,https://dblp.org/pid/67/2933.xml
Arvind Easwaran,Associate Professor,M,N,https://dblp.org/pers/e/Easwaran:Arvind.html,Computer Architecture,https://dblp.org/pid/73/1708.html,https://dblp.org/pid/73/1708.xml
Bo An,Associate Professor,M,N,https://dblp.org/pid/42/6178-1.html,AI/ML,https://dblp.org/pid/42/6178-1.html,https://dblp.org/pid/42/6178-1.xml
Cai Jianfei,Professor,M,N,https://dblp.org/pid/83/6096.html,Computer Vision,https://dblp.org/pid/83/6096.html,https://dblp.org/pid/83/6096.xml
Cai Wentong,Professor,M,Y,https://dblp.org/pid/83/3179.html,Distributed Systems,https://dblp.org/pid/83/3179.html,https://dblp.org/pid/83/3179.xml
Cham Tat Jen,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cham:Tat=Jen.html,Computer Vision,https://dblp.uni-trier.de/pid/29/3808.html,https://dblp.uni-trier.de/pid/29/3808.xml
Chan Syin,Associate Professor,F,N,https://dblp.org/pers/c/Chan:Syin.html,Computer Networks,https://dblp.org/pid/80/2106.html,https://dblp.org/pid/80/2106.xml
Chia Liang Tien Clement,Associate Professor,M,N,https://dblp.org/pers/c/Chia:Liang=Tien.html,Multimedia,https://dblp.org/pid/05/2952.html,https://dblp.org/pid/05/2952.xml
Chng Eng Siong,Associate Professor,M,N,https://dblp.org/pers/s/Siong:Chng_Eng.html,AI/ML,https://dblp.org/pid/c/ChngEngSiong.html,https://dblp.org/pid/c/ChngEngSiong.xml
Cong Gao,Professor,M,N,https://dblp.uni-trier.de/pers/c/Cong:Gao.html,Data Mining,https://dblp.uni-trier.de/pid/33/3180.html,https://dblp.uni-trier.de/pid/33/3180.xml
Deepu Rajan,Associate Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajan:Deepu.html,Computer Vision,https://dblp.uni-trier.de/pid/95/3115.html,https://dblp.uni-trier.de/pid/95/3115.xml
Douglas Leslie Maskell,Associate Professor,M,N,https://dblp.org/pers/m/Maskell:Douglas_L=.html,Computer Architecture,https://dblp.org/pid/63/6663.html,https://dblp.org/pid/63/6663.xml
Dusit Niyato,Professor,M,N,https://dblp.uni-trier.de/pers/n/Niyato:Dusit.html,Computer Networks,https://dblp.uni-trier.de/pid/76/440.html,https://dblp.uni-trier.de/pid/76/440.xml
Erik Cambria,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cambria:Erik.html,AI/ML,https://dblp.uni-trier.de/pid/80/7421.html,https://dblp.uni-trier.de/pid/80/7421.xml
Goh Wooi Boon,Associate Professor,M,N,https://dblp.org/pers/g/Goh:Wooi=Boon.html,HCI,https://dblp.org/pid/97/6922.html,https://dblp.org/pid/97/6922.xml
Guan Cuntai,Professor,M,N,https://dblp.org/pers/g/Guan:Cuntai.html,AI/ML,https://dblp.org/pid/95/7006.html,https://dblp.org/pid/95/7006.xml
He Ying,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/h/He_0001:Ying,Computer Graphics,https://dblp.uni-trier.de/pid/h/YingHe1.html,https://dblp.uni-trier.de/pid/h/YingHe1.xml
Huang Shell Ying,Senior Lecturer,F,N,https://dblp.org/pers/h/Huang:Shell=Ying.html,Distributed Systems,https://dblp.org/pid/61/3119.html,https://dblp.org/pid/61/3119.xml
Hui Siu Cheung,Associate Professor,M,N,https://dblp.org/pers/h/Hui:Siu_Cheung.html,Information Retrieval,https://dblp.org/pid/65/3225.html,https://dblp.org/pid/65/3225.xml
Joty Shafiq Rayhan,Assistant Professor,M,N,https://dblp.org/pers/j/Joty:Shafiq_R=.html,AI/ML,https://dblp.org/pid/62/2078.html,https://dblp.org/pid/62/2078.xml
Ke Yiping Kelly,Assistant Professor,F,N,https://dblp.uni-trier.de/pers/k/Ke:Yiping.html,AI/ML,https://dblp.uni-trier.de/pid/07/3111.html,https://dblp.uni-trier.de/pid/07/3111.xml
